Authorization Number,Authorization Type,Company,Issue Date,Expiry Date,Waste Type,State,Primary BCENICID,Secondary BCENICID,CPIX,Risk Level,WDR Regulation,WDR Schedule One or Two,Regional Case Manager,Office,Administrative Area,Regional District,Region,Nearest Municipality,Facility Type - Description,Facility Address,Facility Operator,Facility Operator Phone,Facility Operator Email,Latitude,Longitude,Legal Land Description,Mailing Address
109045,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Cariboo,Victoria Authorizations Team,Williams Lake,  ,"25 Hodgson Rd, Williams Lake BC  V2G 3R2",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,52.1214,122.1314,Lot 1 District Lot 71 Cariboo District Plan 28256,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109046,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Holms, Bruce",Victoria, ,North Coast ,Victoria Authorizations Team,Kitimat,  ,"191 Enterprise St, Kitimat BC  V8C 2C8",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,54.0554,128.6889,Block 1213 District Lot 6060 Range 5 Coast District Plan 3599,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109047,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Thompson-Nicola,Victoria Authorizations Team,Kamloops,  ,"1885 Versatile Dr, Kamloops BC  V1S 1C5",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,50.6586,120.3997,Parcel A (X105972) Section 35 Township 19 Range 18 West of the 6th Merdian Kamloops Division Yale District Plan 30204,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109048,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Thompson-Nicola,Authorizations - South Region,Kamloops,  ,"Kamloops (North) Cardlock, Yellowhead Hwy 5 and Mt. Paul Hwy near Kamloops BC",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,50.6931,120.3232,"Lot FL-1 Block 1 in Kamloops Indian Reserve No. 1, Province of British Columbia, as shown on Plan of Survey No. 75340 CLSR","Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109049,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Fraser Valley ,Victoria Authorizations Team,Hope,  ,"61950 Flood Hope Rd, Hope BC  V0X 1L2",Parkland Refining (B.C.) Ltd.,4005,Jill. Donnelly@parkland.ca,49.3651,121.5158,Lot 3 Section 1 Township 5 Range 27 West of the Sixth Meridian New Westminster District Plan 17065,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109050,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Surrey, ,Fraser Valley ,Victoria Authorizations Team,Chilliwack,  ,"44025 Yale Rd W, Chilliwack BC  V2R 3Z9",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,49.1462,122.0059,"Lot A Except Firstly: Part Subdivided by Plan 72784_x000D_
Secondly: Part Highway SRW Plan 36643; District Lot 72 Group 2 New Westminster District Plan 13606","Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109051,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Squamish-Lillooet,Victoria Authorizations Team,Squamish,  ,"38926 Progress Way, Squamish BC  V8B 0K5",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,49.7168,123.149,"Lot 96, Except Part in Plan 20466, District Lot 1305 Plan 20132","Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109052,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Fraser Valley ,Victoria Authorizations Team,Abbotsford,  ,"34624 Vye Rd, Abbotsford BC  V2S 8J7",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,49.0164,122.2668,Lot 15 Section 2 Township 16 New Westminster District Plan 64433,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109053,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Fraser Valley ,Victoria Authorizations Team,Langley,  ,"9450 200th St, Langley BC  V1M 3A6",Parkland Refining (B.C.) Ltd.,4005,Jill. Donnelly@parkland.ca,49.1742,122.6662,Lot 1 Section 35 Township 8 New Westminster District Plan LMP32625,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109054,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Metro Vancouver,Victoria Authorizations Team,Richmond,  ,"7891 Grauer Rd, Richmond BC  V7B 1N4",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,49.198,123.1368,"Lot 63 Section 20 and of Fractional Section 21 Block 5 North Range 6 West New Westminster District Plan 27763; and Parcel ""C"" (Reference Plan 7854) Section 20 Block 5 North Range 6 West New Westminster District Except: Part on Plan 27763","Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109055,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Cowichan Valley ,Victoria Authorizations Team,Duncan,  ,"7800 Mays Rd, Duncan BC  V9L 6A8",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,48.8368,123.7174,Lot A Section 13 Range 5 Somenos District Plan 31758,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109056,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Kootenay Boundary,Victoria Authorizations Team,Grand Forks,  ,"7766 Donaldson Dr RR2, Grand Forks BC  V0H 1H2",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,49.0326,118.4669,Lot 5 District Lots 380 and 520 Similkameen Division Yale District Plan 34714,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109057,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,North Okanagan,Victoria Authorizations Team,Vernon,  ,"7255 Meadowlark Rd, Vernon BC  V1B 3R6",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,50.3149,119.2445,Lot A Section 23 Township 8 Osoyoos Division Yale District Plan KAP46642,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109061,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Fraser Valley ,Victoria Authorizations Team,Cloverdale,  ,"5504 176th St, Cloverdale BC  V3S 4C3",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,49.1023,122.7344,Lot A (Explanatory Plan 59013) Section 5 Township 8 New Westminster District Plan 57265,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109063,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Nanaimo ,Victoria Authorizations Team,Nanaimo,  ,"4391 Boban Dr, Nanaimo BC  V9T 5V9",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,49.2084,124.0384,Lot 2 Section 5 Wellington District Plan VIP60136,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109064,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Cowichan Valley ,Victoria Authorizations Team,Cobble Hill,  ,"3675 Ratcliff Rd, Cobble Hill BC  V0R 1L4",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,48.6928,123.5451,"Lot B Section 13, 14 and 15 Range 10 Shawinigan District Plan 35909","Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109065,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Bulkley-Nechako,Victoria Authorizations Team,Smithers,  ,"3100 Tatlow Rd, Smithers BC  V0J 2N5",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,54.7682,127.1418,Lot A Section 30 Township 4 Range 5 Coast District Plan 10001,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109066,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Metro Vancouver,Victoria Authorizations Team,Delta,  ,"2859 41B St, Delta BC  V4K 3N2",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,49.0547,123.1104,Lot 1 District Lots 183 and 184 Group 2 New Westminster District Plan EPP48424,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109067,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Okanagan-Similkameen ,Victoria Authorizations Team,Kelowna,  ,"2650 Acland Rd, Kelowna BC  V1X 7J3",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,49.9239,119.3853,Lot 2 District Lot 123 Osoyoos Division Yale District KAP56302,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109068,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Metro Vancouver,Victoria Authorizations Team,Coquitlam,  ,"2595 Shuswap Ave, Coquitlam BC  V3K 6K2",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,49.2308,122.8199,Lot 1 District Lot 22 Group 1 New Westminster District Plan 75938,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109069,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,East Kootenay ,Victoria Authorizations Team,Cranbrook,  ,"2373 Cranbrook St N, Cranbrook BC  V1C 3T3",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,49.5347,115.7423,Parcel A (See 1278801) of Lot 3 District Lot 30 Kootenay District Plan 2985 Except Part included in SRW Plan 18254,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109070,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Fraser-Fort George,Victoria Authorizations Team,Prince George,  ,"1000 Great St, Prince George BC  V2N 2K8",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,53.8835,122.7434,Lot 34 District Lot 745 Cariboo District Plan 17833,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109071,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Metro Vancouver,Victoria Authorizations Team,Annacis Island,  ,"628 Derwent Way, Annacis Island, Delta BC  V3M 5P8",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,49.1807,122.929,Lot 95 District Lot 312 Group 1 New Westminster District Plan 46235,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109072,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Bulkley-Nechako,Victoria Authorizations Team,Vanderhoof,  ,"219 West 1st St, Vanderhoof BC  V0J 3A0",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,54.0141,124.0118,Lot 4 Section 9 Township 11 Range 5 Coast District Plan PRP41898,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109073,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Columbia Shuswap ,Victoria Authorizations Team,Revelstoke,  ,"142 Highway 23 N, Revelstoke BC  V0E 2S0",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,51.0119,118.2122,Lot 1 Section 34 Township 23 Range 2 West of the 6th Meridian Kootenay District Plan 8864 Except Plan NEP19144 ,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109074,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Bulkley-Nechako,Victoria Authorizations Team,Burns Lake,  ,"65 Railway Ave, Burns Lake BC  V0J 1E0",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,54.2281,125.7648,"That part of District Lot 5704 Range 5 Coast District on Plan 1236 Except Plans 1513_x000D_
11968 PRP 12837 and PRP 12838 outlined in red on private lease agreement CNR 11157 now 3048987_x000D_
","Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109075,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Nanaimo ,Victoria Authorizations Team,Nanaimo,  ,"39 Maki Rd, Nanaimo BC  V9R 6Z9",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,49.1304,123.9198,Lot A Section 2 Nanaimo District Plan 18616,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109076,Petroleum Storage and Distribution Facilities Storm Water Regulation,PARKLAND REFINING (B.C.) LTD. ,8/18/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Strathcona,Victoria Authorizations Team,Campbell River,  ,"16 Ave and Willow St, Campbell River BC",Parkland Refining (B.C.) Ltd.,4005,Jill.Donnelly@parkland.ca,50.0311,125.2742,Lot A (DD EJ6141) District Lot 66 Sayward District Plan 7850,"Suite 1200, 1050 West Pender St, Vancouver BC  V6E 3T4"
109078,Hazardous Waste Regulation,SUMAS ENVIRONMENTAL SERVICES INC. ,10/10/2018,,Hazardous Waste,Active,410000  Storage - General,562240  Hazardous Waste and Storage,H,,Schedule 1,Hazardous Waste Management,"Potvin, Laila ",Prince George,Northern,Fraser-Fort George,Authorizations - North Region,Prince George,"  Sumas Environmental Ltd. wishes to develop the currently vacant property located at_x000D_
two adjacent lots, 4664 and 4696 Banzer Drive, Prince George, BC, as a temporary_x000D_
hazardous waste storage facility. The facility will have capacity to store up to 400_x000D_
drums, one (1) 38,000 litre (L) storage tank for wastewater and one (1) 38,000 L_x000D_
storage tank for fuel and waste oil._x000D_
Activities to be undertaken at the site include collection, consolidation, decanting_x000D_
lab-packing and segregation of waste streams. The facility will not engage in_x000D_
treatment or recycling of hazardous wastes. All wastes will be transferred to licensed_x000D_
facilities for treatment and disposal._x000D_
_x000D_
Update Sep. 23: Updates to the Operational Plan, Plans and Specifications, and Contingency Plan as part of the corrective action plans by Sumas for MOE inspection (Report No._x000D_
145502 dated March 31, 2020)","4664 and 4696 Banzer Dr, Prince George BC  V2K 4H2",Sumas Environmental Serrvices Inc.,6678,saeed@sumas.net,53.96775,122.76465,,"4623 Byrne Rd, Burnaby BC  V5J 3H6"
109080,Code of Practice for Soil Amendments,Roger Sipkes - DBA  ,9/25/2017,9/24/2018,,Expired,569999  Waste Treatment - Composting,  ,L,,Schedule 2,Soil Enhancement Using WastesCode of Practice for Soil Amendments,"Holms, Bruce",Victoria, ,Central Kootenay ,Authorizations - South Region,Castlegar,  ,"2435 Lower Gibson Road, Castlegar BC V1N 4S4",Roger Sipkes,3014,n.san993@gmail.com,49.3611,117.6696,"Lot 2, Plan NEP 5002, DL7448, Land District 26","2435 Lower Gibson Road, Castlegar BC V1N 4S4"
109085,Approval,TRANS MOUNTAIN PIPELINE ULC ,8/14/2018,2/15/2020,Effluent,Expired,486110  Oil & Gas - Crude Oil Pipelines,  ,M,,Schedule 1,Oil and Natural Gas Industry - Large,"Hill, Breanne",Prince George,Oil & Gas/LNG Operations,Metro Vancouver,Authorizations - North Region,Burnaby,"Westridge marine Terminal  The Trans Mountain Pipeline Company was established in 1951 to construct and operate the Trans Mountain Pipeline between Strathcona County, AB and Burnaby BC. The pipeline and terminals began operation in 1953, creating a reliable energy supply for Canada and the United States. During that period, average daily throughput has been progressively increased from 150,000 barrels per day (BPD) to today’s 300,000 BPD._x000D_
_x000D_
The Westridge Marine Terminal is the western coastal loading and shipping facility for the Trans Mountain Pipeline. It is an existing facility that was built in 1953 and first put into operation in 1957, and exports crude oil products to California and Asia, and distributes jet fuel imported from Washington State refineries to Vancouver International Airport.","Westridge Marine Terminal, 7065 Bayview Drive, Burnaby BC",Mike Droppo,(403) 514-6537,mike_droppo@kindermorgan.com,49.2881,122.9547,Lot 186 PL: 38021 DL: 217 LD: 37 New Westminster Group 1,"Suite 2700, 300 - 5th Ave SW, Calgary AB T2P 5J2"
109087,Permit,"CERTAINTEED GYPSUM CANADA, INC. ",5/16/2019,,Effluent,Active,212390  Mining - Non-metallic minerals,  ,H,,Schedule 1,Mining and Coal Mining Industry,"Adamsson, Todd",Cranbrook,Mining Operations,East Kootenay ,Authorizations - South Region,Canal Flats,"Kootenay West Mine  The proposed Kootenay West Mine will target a gypsum deposit with an estimated mineral resource of 17 M t at an average grade of 83-85%. The mine will consist of two open pit gypsum quarries and will be developed using conventional top-down, open-cast mining procedures with 10 m benches. On-site extraction activities will be limited to drilling, blasting and crushing. Blended ore will be hauled to a rail load-out facility in Invermere, BC for transport to production facilities in Vancouver BC. Alternatively, crushed gypsum ore will be highway hauled to clients in Alberta or Washington State (USA). The gypsum deposit will be mined over a 43 year period; operations will produce ~ 14 Mt of waste rock that will be stored in one of four mine rock storage facilities (MRSF's), used as construction material or backfilled into two open pits. The facility includes a primary and secondary crusher with a conveyor system that moves crushed material to production stockpiles for eventual load-out and highway transport. A location map and general arrangement figure are appended to the preliminary application._x000D_
Ancillary infrastructure includes two diversion ditches to intercept and bypass non-contact water around the mine site while multiple collection ditches direct contact water from the pits, MRSF's, topsoil stockpile, haul roads, and plant site to two sedimentation ponds that perennially discharge to ground and seasonally discharge to the Kootenay River.","12 km East of Canal Flats, BC on the Kootenay Forest Service Road (FSR)",Steve Rasilainen,(250) 342-9410,steve.rasilainen@saint-gobain.com,50.2147,115.7102,"Mineral Tenure 369431 DL: 15314, 15315, 15316, 15449, 15450, 15930, 15931, 15932, 15933, 15934, 15935, 15936, 15937, 15938, 16002, 16005, 16016, 16017, 16018 and 16019._x000D_
Mineral Claim 1052756","1564 Windermere Loop Rd, PO Box 217, Invermere BC  V0A 1K0"
109090,Permit,1598313 ALBERTA LTD. GENERAL PARTNER FOR PEMBINA INFRASTRUCTURE AND LOGISTICS LP,6/24/2019,,Air,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Pierce, Eric",Smithers,Northern,North Coast ,Authorizations - North Region,Prince Rupert,"Petroleum Storage  The Project would be designed to handle up to 25,000 barrels per day. It would include the construction of additional rail on Watson Island and aboveground storage. The propane would be delivered by CN on its existing rail lines; about 20-30 railcars per day on average are expected to be received at the facility. Propane will be stored at the terminal and then loaded onto small handy-size marine ships with cargo capacity of approximately 150,000 barrels. There would be approximately 3-4 ships leaving the facility per month. There will be no product processing; the terminal will be limited to handling and storage. When completed, the Project will include:_x000D_
-a rail yard with railcar unloading equipment_x000D_
-three storage spheres and two smaller storage tanks_x000D_
compressors and pumps powered by electricity from the grid_x000D_
-an enclosed flare stak_x000D_
-transfer pipe and a loading hose on the existing dock_x000D_
-a fire water tank_x000D_
-a control center_x000D_
-a new storm water containment pond, and;_x000D_
-other supporting infrastructure such as utility connections for power and water._x000D_
_x000D_
The primary activity is Petroleum Storage as per Schedule 2 of the Waste Discharge Regulation and guidance in the Waste Discharge Regulation Implementation Guide. The applicable industry code is NAICS Code 412110 - Petroleum and petroleum products merchant wholesalers.",Watson Island located approximately 8 km south of Prince Rupert BC,Brad Agnew,(587) 293-5464,bagnew@pembina.com,54.235035,130.294832,"The Project will be developed on some portion of the following lots owned by the City of Prince Rupert:_x000D_
• Block A, District Lot 7382, Range 5, Coast District Plan 4844 [PID 004-428-641]_x000D_
• Amended Lot 1 (Plan 6056), District Lot 507, Range 5, Coast District Plan 4844 [PID 004-403-703]_x000D_
• Lot 5, District Lots 507, 6564, and 7537, Range 5, Coast District Plan 4844 except Plan 6056 [PID 004-402-235]_x000D_
• Lot 3, District Lot 7381, Range 5, Coast District Plan 4844 [PID 004-428-650]_x000D_
A portion of the Project will also be developed on lots owned by CN which are:_x000D_
• District Lot 7537, Range 5, Coast District Plan 2047 except Plan 2096 [PID 015-190-668]_x000D_
• District Lot 6564, Range 5, Coast District except Plan 2096 [PID 015-330-061]_x000D_
• That part of District Lot 507, Range 5, Coast District on Plan 1167 [PID 015-010-023]_x000D_
• Part 10.26 Acres of District Lot 446, Range 5, Coast District [PID 017-050-961]]","Suite 4000 585 - 8th Avenue SW, Calgary AB T2P 1G1"
109091,Organic Matter Recycling Regulation,0956796 B.C. LTD. CHILLIWACK CATTLE SALES LTD.,9/1/2017,,,Active,569999  Waste Treatment - Composting,569990  Waste Treatment - Land Application of Solids,L,,Schedule 2,Soil Enhancement Using WastesCode of Practice for Soil Amendments,"Vergamini, Don",Kamloops,Southern Interior,Fraser Valley ,Authorizations - South Region,Langley,  ,8463 272nd St. Langley BC V1M 3L5,Justin Kooyman,5267,justin@kooymangroup.ca,49.1717,122.4739,"Parcel ""D"" (M34455E), Northeast Quarter, Section 30, Township 14 New Westminster District","47749 Prairie Central Rd., Chilliwack BC V2P 6H3"
109092,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,TERVITA CORPORATION ,9/1/2017,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Holms, Bruce",Victoria, ,East Kootenay ,Authorizations - South Region,Kimberley,Automotive Recyclers  Info not requested on our forms,"330 317 Avenue, Kimberley BC V1A 3G9",No Provided - not requested on our form,9999,,49.635884,115.941329,"Parcel A, Lot 13, 14, 15 of District Lot 2377, Plan 7618","1600-140 10th Ave SE, Calgary AB T2G 0R1"
109093,Permit,CHINOOK ENERGY (2010) INC. ,12/18/2017,,Air,Active,211100  Oil & Gas - Extraction,  ,M,,N/A,,"Butler, Rachel",Fort St. John (OGC),Oil & Gas/LNG Operations,Peace River ,Oil & Gas Commission,Fort St. John (OGC),Sour Compressor Dehy  Birley a-72-F/94-H-3,Birley a-72-F/94-H-3,Chinook Energy ,(403) 261-6883,,57.145,121.269,Birley a-72-F/94-H-3,"Suite 1000-517 10th  Avenue SW, Calgary AB  T2R 0A8"
109096,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,SHADOW CREEK PROPERTIES LTD. POURBOYS MECHANICAL,9/6/2017,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Holms, Bruce",Victoria, ,Kootenay Boundary,Authorizations - South Region,Midway,Auto Dismantler and Recycler   ,"815 Murray St, Midway BC  V0H 1M0",Not provided,,,49.0106,118.7786,"Lot A, Plan 20944, D.L. 377","Highway 3, Box 250, Midway BC V0H 1M0"
109097,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Maryanne Varge - DBA  ,9/6/2017,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,"Vehicle, Industrial Machinery and Parts and Accessories Manufacturing Industry","Holms, Bruce",Victoria, ,Kootenay Boundary,Authorizations - South Region,Castlegar,Auto Dismantler and Recycler   ,"1902 McDaniels Rd, Castlegar BC  V1N 4T2",Mary Varge,5121,,49.3959834,117.642429,Lot 4 Plan NEP 2880 District Lot 8942 Kootenay Land District Manufactured Home Reg #100444,"1902 McDaniels Rd, Castlegar BC  V1N 4T2"
109098,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,ACTION AUTO WRECKING LTD. ,9/6/2017,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,"Vehicle, Industrial Machinery and Parts and Accessories Manufacturing Industry","Holms, Bruce",Victoria, ,Metro Vancouver,Authorizations - South Region,Surrey,Auto Recycler - new form does not ask for this  ,"10559 Scott Road, Surrey BC V3V 4G4",Saeed Rassuli,0376,saeed.rassuli@gmail.com,49.1948,122.888221,"Lot 41, District Lot 7 Group 2 and Section 19 Block 5 North Range West New Westminster","10559 Scott Road, Surrey BC V3V 4G4"
